"logFC","logCPM","PValue","FDR"
"Tcas001445",-4.65144524432623,7.44203566161208,8.95106755339287e-33,8.94390669935016e-29
"Tcas012119",-3.15272093393425,6.43018983998564,1.59883370553133e-31,7.98777319283451e-28
"Tcas007215",-3.75950583993286,4.7959705885872,2.11224916705982e-30,7.03519789242057e-27
"Tcas005259",-4.61601052310649,11.1143600304619,3.81585934129009e-27,9.53201663454264e-24
"Tcas004278",-4.76375107793262,10.5717025793076,3.2855849208415e-24,6.56591290580966e-21
"Tcas005506",-3.06583368972484,7.65984387036084,2.52195545194113e-23,4.1998964792993e-20
"Tcas002492",-2.53003682731451,2.93556940834502,6.83364935035225e-21,9.75454632981709e-18
"Tcas008014",-3.47676537223828,8.66301986289366,1.0101464532483e-19,1.26167292010713e-16
"Tcas010348",-2.09553553004101,4.94628167478005,1.16243348129815e-19,1.29055948279235e-16
"Tcas007069",-2.42034349221336,7.16505743134777,3.36645477892623e-19,3.36376161510309e-16
"Tcas000381",-3.88599477922557,3.42068409166722,4.10005494564562e-19,3.72434081971737e-16
"Tcas007752",-2.56572527235855,6.59251098628021,1.34711335109378e-18,1.12169638367742e-15
"Tcas012300",-2.96763763524544,4.73208680615686,2.32089176411623e-18,1.78387311592688e-15
"Tcas010750",2.79543084469061,3.05157852482559,9.19151383256855e-17,6.56011472964464e-14
"Tcas008986",-1.80362691680081,6.8486065388135,2.37688562502189e-16,1.58332274434791e-13
"Tcas003161",4.4441104986667,4.22485881800419,2.83885653006545e-16,1.77286590302587e-13
"Tcas005749",-1.65292041455626,4.25777849570576,4.96344619099296e-16,2.91733849061186e-13
"Tcas009707",-2.1172550567813,6.76048891869389,8.38012076354719e-16,4.65189814829797e-13
"Tcas001544",-3.50581554126975,5.77189064051348,1.09423140473189e-15,5.65824511561209e-13
"Tcas011916",-3.36931115767014,3.38054762540743,1.13255506717616e-15,5.65824511561209e-13
"Tcas003260",-1.99144990444998,8.54961704759407,1.9217235481996e-15,9.09206236281487e-13
"Tcas005879",-1.62087258547415,4.17922308541462,2.00185520398246e-15,9.09206236281487e-13
"Tcas010412",-3.00713142204837,9.11364705182505,3.79938441180505e-15,1.65058474098939e-12
"Tcas011920",-2.18147697180258,8.28524077622005,6.47767038877065e-15,2.69687010519152e-12
"Tcas007531",-2.43275212257813,5.91472052784908,8.45651355101461e-15,3.37989933606952e-12
"Tcas004599",-2.7211250927443,4.75118093818306,9.9238541164081e-15,3.81381347427499e-12
"Tcas012473",-3.48324593633184,1.72474057228756,1.65888464055062e-14,6.09571558887728e-12
"Tcas009833",-1.88430402699802,7.4206050012556,1.70816689840436e-14,6.09571558887728e-12
"Tcas000125",-3.10077332719022,4.69482480364165,1.95192601091582e-14,6.72539472450719e-12
"Tcas005680",-1.90165349004441,5.28281210643438,2.82910321622087e-14,9.37498279524574e-12
"Tcas008385",-2.57167886910482,8.61663413558775,2.90857152374518e-14,9.37498279524574e-12
"Tcas002348",-2.02082968554009,9.25657402025131,3.52830933417721e-14,1.10171458959683e-11
"Tcas005611",-1.83367889112245,8.25367569500276,9.06126415509519e-14,2.69271533792626e-11
"Tcas008614",-2.72247500348859,9.08393789713627,9.16256219870824e-14,2.69271533792626e-11
"Tcas011939",-2.01605436453492,7.12386180514102,2.37674597615541e-13,6.78527022678425e-11
"Tcas007380",2.17606273808648,4.99526408920197,2.45342094356461e-13,6.80960613002710e-11
"Tcas011980",-1.79524677506806,5.08766491564108,3.43605708585962e-13,9.27921145997548e-11
"Tcas005596",-2.32865100902667,8.86319921382246,8.03126408349665e-13,2.11179975584996e-10
"Tcas006834",-2.15340133439202,5.92212538781818,1.47305104050424e-12,3.74226878935293e-10
"Tcas000686",1.59940374833127,6.41459579147265,1.49810600054161e-12,3.74226878935293e-10
"Tcas011193",1.74148784971037,5.95878769082939,1.99538788813513e-12,4.86290628737713e-10
"Tcas011630",2.84669107463412,8.55468099099044,2.30901636029718e-12,5.49325987430699e-10
"Tcas004279",-2.54762515939748,11.3497718917049,2.76924941979214e-12,6.43496283780536e-10
"Tcas008216",-1.69226465461281,5.186104903657,3.52542947991815e-12,8.00592985530503e-10
"Tcas009545",2.77938960774939,3.95264002380353,4.38685567515946e-12,9.7407693124874e-10
"Tcas002003",-2.99008519315759,11.432005749579,5.29807239662929e-12,1.15083346493739e-09
"Tcas011971",1.9811775098666,7.22875080764247,6.82657796241996e-12,1.45130142554256e-09
"Tcas011047",-1.50293384645324,7.59492930391606,7.09216830771994e-12,1.47635303605704e-09
"Tcas008723",-2.48787564378406,9.73895810801539,2.32193698468158e-11,4.73485598998742e-09
"Tcas009886",-1.88979855952797,8.62029172688309,2.75922523692436e-11,5.48920191567781e-09
"Tcas005214",-2.22338625077738,3.7894696349096,2.80173436448727e-11,5.48920191567781e-09
"Tcas008231",-1.82726028158293,5.85463696506187,5.43802197791381e-11,1.04493683852529e-08
"Tcas002204",-3.11116559687132,2.61299806909405,6.3518780544085e-11,1.19750878338962e-08
"Tcas002779",-1.90342147017504,4.80955915113595,6.93396652241661e-11,1.28304062022198e-08
