"logFC","logCPM","PValue","FDR"
"Tcas008614",-3.32088968436154,9.08393789713627,8.16680630367034e-19,8.1602728586274e-15
"Tcas001445",-2.96759068153489,7.44203566161208,1.31300555799803e-16,6.55977576775815e-13
"Tcas009545",3.22532201882879,3.95264002380353,1.11213969499826e-15,3.70416661080753e-12
"Tcas010348",-1.78666055075201,4.94628167478005,4.07417060157013e-15,1.01772781627222e-11
"Tcas001544",-3.38140154617424,5.77189064051348,8.27736151166053e-15,1.65414792449024e-11
"Tcas012473",-3.52468760067229,1.72474057228756,6.09255765974974e-14,1.01461393560366e-10
"Tcas010260",1.91613116886419,6.62935029704061,7.50295890757211e-14,1.07099379149229e-10
"Tcas003161",4.02648466632162,4.22485881800419,1.17393313624397e-13,1.46624248716872e-10
"Tcas000381",1.97444544633369,3.42068409166722,2.72226720221585e-13,3.02232154272676e-10
"Tcas011097",-1.44388923366856,6.36265828981855,3.03854370210385e-13,3.03611286714217e-10
"Tcas010750",2.40292715364175,3.05157852482559,2.99077483270825e-12,2.71671110258372e-09
"Tcas005259",-2.70322379212513,11.1143600304619,5.4613276020208e-12,4.54746544994932e-09
"Tcas005008",1.57700820900951,6.32594550154268,6.48728536138181e-12,4.98622733314823e-09
"Tcas006511",2.10050986931378,3.29550327571555,2.03916528024607e-11,1.45538139144419e-08
"Tcas008014",-2.43266788630661,8.66301986289366,3.01528708549881e-11,2.00858323722028e-08
"Tcas011630",2.64356605183303,8.55468099099044,5.17498359065464e-11,3.23177725236382e-08
"Tcas007531",-1.97961578621887,5.91472052784908,1.28076803412242e-10,7.52790246879486e-08
"Tcas011971",1.83446387790696,7.22875080764247,1.78609984278778e-10,9.7654093606823e-08
"Tcas012143",1.68761038556803,7.69129917365095,1.85691330917698e-10,9.7654093606823e-08
"Tcas009886",-1.80022086946161,8.62029172688309,2.02682759436214e-10,1.01260306614332e-07
"Tcas003069",2.46380550054554,2.86112485152856,2.17314031236255e-10,1.03400085719651e-07
"Tcas003434",-1.62003217030047,6.34439970292083,2.65612681547049e-10,1.20636450637187e-07
"Tcas004748",1.83233567431896,6.04239817838509,7.12828784012253e-10,3.09677617819584e-07
"Tcas005162",-1.78767860783601,9.953552167288,7.52870534271225e-10,3.13445099101587e-07
"Tcas005777",8.77732536873342,2.6220765124248,9.9156645431969e-10,3.78392311780574e-07
"Tcas004278",-2.59800573599167,10.5717025793076,1.01522092279689e-09,3.78392311780574e-07
"Tcas005904",-2.88499597064555,8.48896610636081,1.02247722358642e-09,3.78392311780574e-07
"Tcas010013",-1.83330557045469,6.72524871078701,1.28236197557991e-09,4.57620030714086e-07
"Tcas010433",-1.65549991820036,5.12365952678223,1.41753449142689e-09,4.88413953046122e-07
"Tcas007069",-1.54969870207364,7.16505743134777,3.54015482342873e-09,1.17910756652333e-06
"Tcas004090",1.69725674565201,6.9631509296579,7.3358095112613e-09,2.36449705279106e-06
"Tcas011047",-1.25433662773096,7.59492930391606,8.59048069946607e-09,2.68237759840828e-06
"Tcas004599",-1.9520677531384,4.75118093818306,1.0059513298449e-08,3.04589869327584e-06
"Tcas005611",-1.38832816673719,8.25367569500276,1.08816425684973e-08,3.19792272189485e-06
"Tcas004279",-2.01748258218172,11.3497718917049,1.66114162468951e-08,4.62146555657887e-06
"Tcas000686",1.27120137065876,6.41459579147265,1.66505964808686e-08,4.62146555657887e-06
"Tcas012194",1.7351772780485,2.84188863323832,1.88141913897079e-08,5.04411416383367e-06
"Tcas007629",-1.65100575833727,8.19892155089232,1.91829802067333e-08,5.04411416383367e-06
"Tcas004697",-1.54541898883768,4.64567001636688,2.77128302562369e-08,7.10016922872612e-06
"Tcas005893",6.01337451602179,3.38375373287019,3.16350156150035e-08,7.90242690062788e-06
"Tcas002779",-1.55075500059263,4.80955915113595,6.97090951333009e-08,1.66174080674626e-05
"Tcas012119",-1.34558186378462,6.43018983998564,6.98489930778051e-08,1.66174080674626e-05
"Tcas011154",2.4936808513209,2.28428840758824,7.30967411210848e-08,1.69856427274856e-05
"Tcas000416",1.03661963276187,6.52863714753697,7.60564544133203e-08,1.72717293749522e-05
"Tcas002204",-2.4137859430951,2.61299806909405,8.86715001417646e-08,1.95265448187547e-05
"Tcas004806",1.06607351917975,4.743786383644,8.98940213833784e-08,1.95265448187547e-05
"Tcas006017",6.43015628697016,3.51651918540327,9.83354196458102e-08,2.0905691768105e-05
"Tcas000694",-1.39285533936468,5.08872117469903,1.05464394638871e-07,2.19541714839916e-05
"Tcas005728",-1.5418603157811,2.62351133323262,1.40391963023128e-07,2.86284998883081e-05
"Tcas005723",1.75970069511752,7.03094140338205,1.56450706515739e-07,3.12651091901053e-05
"Tcas005214",-1.6947455245188,3.7894696349096,1.96708495458498e-07,3.85394369925747e-05
"Tcas005925",2.09576925517127,8.20005153365246,2.72992681536549e-07,5.24565937290999e-05
"Tcas000424",-1.76722268833187,9.29890387213144,3.0691728081254e-07,5.68800141154177e-05
