"logFC","unshrunk.logFC","logCPM","PValue","FDR"
"Tcas008614",1.66590540139045,1.66599375676665,9.08393739043686,9.42173137754042e-06,0.0519102009829363
"Tcas005162",1.06744944474332,1.06747282842021,9.95355188964729,1.13159152857588e-05,0.0519102009829363
"Tcas010260",-1.15034818491065,-1.15064927264941,6.62935034311423,1.55855287178552e-05,0.0519102009829363
"Tcas009886",1.03613461223501,1.0361902796697,8.62029059526473,3.43407453211459e-05,0.0857831818122226
"Tcas010348",0.945648010161496,0.946244045641099,4.94626548242632,4.46976297829846e-05,0.0893237433583165
"Tcas001445",1.43450864629406,1.43464552085526,7.4420319710685,5.94620101187807e-05,0.0934311378471814
"Tcas005008",-0.862255600269633,-0.862574910863258,6.32594860524834,6.54541598208837e-05,0.0934311378471814
"Tcas009545",-1.48551619568753,-1.49048050515821,3.9526376865995,0.000106619349045034,0.0942547254708121
"Tcas001544",1.74785604659844,1.74877620862239,5.77187436159452,0.000110263278878918,0.0942547254708121
"Tcas006511",-1.11358715088656,-1.11740138117943,3.2954979873198,0.000114837464441042,0.0942547254708121
"Tcas010647",1.39562591866823,1.40765800838314,1.6559812094828,0.000123254906543654,0.0942547254708121
"Tcas007629",1.00446014859553,1.00453615212897,8.19892071554352,0.000126051864285433,0.0942547254708121
"Tcas006630",1.30344594845584,1.30351352598012,8.93194002931532,0.000136955075406945,0.0942547254708121
"Tcas004279",1.13105736602002,1.13106671151207,11.3497716650436,0.000141204999010834,0.0942547254708121
"Tcas010750",-1.13829516685491,-1.14575060920734,3.05162609459466,0.000141495284433765,0.0942547254708121
"Tcas012473",1.94572070043292,1.96704612152052,1.72458967649368,0.000169268192357581,0.105707986127309
"Tcas003069",-1.4235599413038,-1.43031391208848,2.8611102398235,0.000187402212303126,0.110148406196049
"Tcas011097",0.62396179094945,0.624134132982,6.36265738738259,0.000208075224483988,0.111985606292816
"Tcas010433",0.995711061584274,0.996330408860763,5.1236528338222,0.00021294300636144,0.111985606292816
"Tcas003434",0.900875343641794,0.901106222894267,6.3443953668058,0.000232635486175676,0.116224688893368
"Tcas010013",1.05787920101984,1.0580977974721,6.7252454580242,0.000281146869295791,0.133772358000169
"Tcas008014",1.17744725176705,1.17749602427463,8.66301838869958,0.000295525046029565,0.134222102723973
"Tcas000381",-1.20096429461867,-1.20939379971394,3.42064342115637,0.000309412664119806,0.134419623473265
"Tcas003161",-1.89489703215687,-1.90600026927353,4.22488625886028,0.00037220417316487,0.153698715796387
"Tcas011971",-0.917165544741645,-0.917392110914935,7.22875320242269,0.000384554433037397,0.153698715796387
"Tcas004278",1.27830710735606,1.27832031236561,10.5717022672426,0.000420891980490739,0.16175202573321
"Tcas000424",1.02294480146021,1.02297913767538,9.29890285765762,0.000479729011041406,0.177535269567619
"Tcas011047",0.578682403178467,0.578732963351058,7.59492793018303,0.000515635925302354,0.184008363057897
"Tcas007742",1.03461881038662,1.03489364115947,6.63769426019555,0.000547418058286491,0.188613835806849
"Tcas004748",-0.954440521344623,-0.954915878926079,6.04239949610784,0.000581107390178495,0.193547501422118
"Tcas011630",-1.20430021139228,-1.20446886371443,8.55468207363263,0.00061277677702889,0.197511792131376
"Tcas006308",-0.980255001666964,-0.980292592378597,9.32700548938555,0.000684087303285784,0.207879965944618
"Tcas007069",0.789790282588698,0.789882502851058,7.16505211516704,0.000686553130121336,0.207879965944618
